id,title,company,city,lat,lon,min_exp,skills,salary_min
938bf671-0ea3-4261-b45c-bb172b4acca1,Sales Gym,PT. DUNIA NUTRISI INDONESIA,,-6.22778,106.87778,1,"Sales and Marketing, Communication Skills, Salesforce",0
92adbd92-f70a-4669-b191-e15a652cb13f,videografer,Hagia Group,,-6.21389,106.66667,0,"Capcut, Video Editing, Videography, Video Capture",0
7aabbab3-9356-4e3f-822e-14ffb7bafd6d,kepala finaihing furniture,PT Adiwraksa Atyanta,,-7.61306,110.81361,1,"Film & Video Production, Leadership, Team Management, Music Production",0
120a2c3c-8b91-4ce0-93d7-c4a73449283a,Customer Relationship Officer,PT BINA LESTARI NUSANTARA,,-6.873333,107.599604,0,"Communication Skills, Problem Solving, Customer Service, Customer Relationship Management",0
895c4c9b-da3b-4712-95f8-4c0e0c748756,Customer Service,jaws.acchp,,-6.18611,106.84583,1,"Customer Support, Customer Relationship Management, Outbound Call, Call Center, Communication Skills, Customer Service, Problem Solving, Help Desk",0
37ccdb89-9254-4f9d-8cd0-2b75666d475a,Staf Gudang,KAMERIA PURYANTI,,-6.26667,106.70972,1,"Teamwork, Stock Opname, Inventory Management",0
c62bc99a-c9a6-46f8-bbd0-1b34a135b2ea,Kindergarten Teacher,Yay Sinar Terang Perasim,Jakarta Selatan,-6.24861,106.77778,1,"Teaching Kindergarten School, Communication Skills, Teamwork, Early Childhood Education, Teaching, English Language",0
ed3619cb-7814-46e1-af01-7f227344b0fd,Customer Service,PT Artha (Akuada Store),,-6.18611,106.84583,1,"Customer Relationship Management, Help Desk, Problem Solving, Customer Support, Customer Service, Communication Skills, Call Center, Outbound Call",0
50900688-bd12-4c70-a01a-1171568ab7bc,Tenaga Kerja Harian (Packing & Operasional),Tani Mandiri Sukses Experiments (TMSX),,-6.2425,106.56611,0,"Administration, Warehouse Operator, Packing",0
4980bda9-1c86-4bf7-a149-0b5b42ba7e84,Teknisi Instalasi Interior Jakarta Barat,Fabrica Indonesia,,-6.1625,106.7875,1,"Maintenance Engineering, Preventive Maintenance, Bisa Memasang Korden-pintu-interior, Bisa Menggunakan Alat Pertukangan",0
877dc469-22ed-4d73-8557-9e788a1a6f6f,Waiter / Waitress (Server),C.V PANCAR GARDEN,Bogor,-6.59806,106.90639,1,"Teamwork, Communication Skills, Positive Attitude",0
3802a405-c70c-4106-8c7f-433083ba4937,Internal Audit,PT. Natura Kulinari Sejahtera,,-7.81389,110.3875,1,"Compliance, IT Audit, Security Audit, Communication Skills, Auditing, Accounting, Tax Audit, Internal Audit",0
22eb7c4e-45ef-4a5a-940d-84d37930b6f0,Kasir,C.V PANCAR GARDEN,Bogor,-6.59806,106.90639,1,"Teamwork, Quinos Point Of Sales, Communication Skills, Administration, Microsoft Word, Microsoft Excel",0
e1cf887d-544c-4b41-82e8-996ea47d4d73,Teknisi Detailing & Coating,DAFFIN CARWASH & D'CAFE,,-6.48389,106.83833,0,"Automotive Engineering, Mechanical Maintenance, Vehicle Maintenance, Car Beauty, Attention to Detail, Teamwork",0
4000dc81-238b-437b-ae08-cf78429b3dbf,Helper Operator Mesin,CV PELANGI,,-7.35444,112.76639,1,"Mechanical, Teamwork, Discipline",0
7273cc54-9d5e-4689-838f-bd5622b3fe47,Marketplace Administrator,Casella Apparel,,-6.12083,106.76111,1,"Customer Service, Google Docs, Microsoft Office, Google Sheets, Microsoft Excel, Administration, Data Entry",0
feec65fe-be77-46cd-ab5b-1911d3f351c7,Accounting Supervisor,PT. WINOD RITEL INDONESIA,,-6.20972,106.70972,3,"Bookkeeping, Zahir Software, Accounts Payable, MYOB, Accounting, Financial Analysis, Microsoft Excel, Accounts Receivable",0
