Kabupaten/Kota,Angkatan Kerja - Bekerja,Angkatan Kerja Pengangguran - Pernah Bekerja,Angkatan Kerja Pengangguran - Tidak Pernah Bekerja,Angkatan Kerja Pengangguran - Jumlah,Angkatan Kerja - Jumlah Angkatan Kerja,Angkatan Kerja - Persentase Bekerja terhadap Angkatan Kerja,Bukan Angkatan Kerja - Sekolah,Bukan Angkatan Kerja - Mengurus Rumah Tangga,Bukan Angkatan Kerja - Lainnya,Bukan Angkatan Kerja - Jumlah Bukan Angkatan Kerja,Angkatan Kerja + Bukan Angkatan Kerja (Jumlah ),Persentase Angkatan Kerja terhadap Penduduk Usia Kerja,Provinsi
Kota Salatiga,110313.0,2490.0,1713.0,4203.0,114516.0,9633.0,12781.0,26662.0,7492.0,46935.0,161451.0,7093.0,Jawa Tengah
Kota Semarang,938766.0,34491.0,21737.0,56228.0,994994.0,9435.0,117861.0,201177.0,56508.0,375546.0,1370540.0,7260.0,Jawa Tengah
Kota Pekalongan,179677.0,4927.0,4197.0,9124.0,188801.0,9517.0,14464.0,38826.0,8501.0,61791.0,250592.0,7534.0,Jawa Tengah
Kota Tegal,144999.0,6675.0,2289.0,8964.0,153963.0,9418.0,16292.0,45353.0,8182.0,69827.0,223790.0,6880.0,Jawa Tengah
Jawa Tengah,21295797.0,655157.0,385244.0,1040401.0,22336198.0,9534.0,1924276.0,4655138.0,1121475.0,7700889.0,30037087.0,7436.0,Jawa Tengah
Pacitan,386904.0,2045.0,3445.0,5490.0,392394.0,9860.0,25111.0,48674.0,19307.0,93092.0,485486.0,8082.0,Jawa Timur
Ponorogo,605467.0,14264.0,10010.0,24274.0,629741.0,9615.0,41991.0,87363.0,28993.0,158347.0,788088.0,7991.0,Jawa Timur
Trenggalek,452598.0,8530.0,9623.0,18153.0,470751.0,9614.0,30290.0,80776.0,24293.0,135359.0,606110.0,7767.0,Jawa Timur
Tulungagung,648111.0,15184.0,12018.0,27202.0,675313.0,9597.0,54454.0,132329.0,41680.0,228463.0,903776.0,7472.0,Jawa Timur
Blitar,738733.0,26160.0,8541.0,34701.0,773434.0,9551.0,61678.0,151393.0,33557.0,246628.0,1020062.0,7582.0,Jawa Timur
Kediri,894602.0,23634.0,20553.0,44187.0,938789.0,9529.0,94433.0,255649.0,59086.0,409168.0,1347957.0,6965.0,Jawa Timur
Malang,1533518.0,44854.0,35932.0,80786.0,1614304.0,9500.0,128481.0,381424.0,61519.0,571424.0,2185728.0,7386.0,Jawa Timur
Lumajang,622064.0,5996.0,13775.0,19771.0,641835.0,9692.0,53107.0,181168.0,45487.0,279762.0,921597.0,6964.0,Jawa Timur
Jember,1535617.0,31674.0,16979.0,48653.0,1584270.0,9693.0,141617.0,308402.0,56392.0,506411.0,2090681.0,7578.0,Jawa Timur
Banyuwangi,995971.0,24601.0,16232.0,40833.0,1036804.0,9606.0,94923.0,235250.0,39133.0,369306.0,1406110.0,7374.0,Jawa Timur
Bondowoso,479074.0,7540.0,5009.0,12549.0,491623.0,9745.0,38736.0,91399.0,14401.0,144536.0,636159.0,7728.0,Jawa Timur
Situbondo,433717.0,7053.0,6435.0,13488.0,447205.0,9698.0,27903.0,75941.0,18532.0,122376.0,569581.0,7851.0,Jawa Timur
Probolinggo,696246.0,18682.0,0.0,20934.0,717180.0,9708.0,52467.0,138708.0,26395.0,217570.0,934750.0,7672.0,Jawa Timur
Pasuruan,939649.0,21931.0,19479.0,41410.0,981059.0,9578.0,76897.0,195055.0,60.0,331952.0,1313011.0,7472.0,Jawa Timur
Sidoarjo,1140151.0,45369.0,24180.0,69549.0,1209700.0,9425.0,135017.0,347059.0,48085.0,530161.0,1739861.0,6953.0,Jawa Timur
