matched_regency,Provinsi,unemployment_num,labor_force_num,Latitude,Longitude,job_volume,competitive_index,opportunity_index,tpt,prosperity_status,cluster_id,hub_type
Sukabumi,Jawa Barat,110512.0,1529554.0,-7.0764508,106.7346608,12,1.75,0.0001085854929781,7.23,Zona Merah,0,Economic Hub
Sukoharjo,Jawa Tengah,22931.0,530316.0,-7.6814994,110.8700287,144,1.3680555555555556,0.0062797086912912,4.32,Lautan Peluang,0,Economic Hub
Sumedang,Jawa Barat,37441.0,616120.0,-6.8098713,107.9817732,43,1.2325581395348837,0.0011484735984615,6.08,Zona Merah,0,Economic Hub
Sumenep,Jawa Timur,12301.0,748058.0,-6.9991798,113.8376708,0,1.0,0.0,1.64,Zona Merah,-1,Isolated zone
Tangerang,Banten,102715.0,1728942.0,-6.1644013,106.4679311,777,1.3835263835263836,0.0075646205520128,5.94,Lautan Peluang,1,Economic Hub
Tasikmalaya,Jawa Barat,38384.0,1041495.0,-7.4271707,108.0684231,4,1.0,0.0001042100875364,3.69,Zona Merah,0,Economic Hub
Tegal,Jawa Tengah,71020.0,933146.0,-7.0564433,109.1315766,28,1.1071428571428572,0.0003942551393973,7.61,Zona Merah,0,Economic Hub
Temanggung,Jawa Tengah,11684.0,505419.0,-7.2397576,110.1216648,22,1.1363636363636365,0.0018829168093118,2.31,Zona Merah,0,Economic Hub
Trenggalek,Jawa Timur,18153.0,470751.0,-8.1359347,111.6401983,22,1.3636363636363635,0.0012119208946179,3.86,Zona Merah,0,Economic Hub
Tuban,Jawa Timur,24854.0,722859.0,-6.9596385,111.8932266,33,1.3636363636363635,0.0013277540838496,3.44,Zona Merah,0,Economic Hub
Tulungagung,Jawa Timur,27202.0,675313.0,-8.0729035,111.8996408,38,1.2894736842105263,0.0013969561061686,4.03,Zona Merah,0,Economic Hub
Wonogiri,Jawa Tengah,14802.0,685334.0,-7.9620507,110.9575733,18,1.3333333333333333,0.0012160518848804,2.16,Zona Merah,0,Economic Hub
Wonosobo,Jawa Tengah,21903.0,548804.0,-7.3997999,109.9209645,19,1.105263157894737,0.000867461078391,3.99,Zona Merah,0,Economic Hub
